,teacher_inst,teacher_id,learner_inst,workerid,rf,color,safe_dangerous,confidence,true_value,correct,correct_confidence,incorrect_confidence,n_safe_colors,safe,match_inst
186,doing,s_57,showing,L_186,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-showing
187,showing,s_53,showing,L_187,xxx,blue,safe,50,dangerous,False,,50.0,0,True,showing-showing
188,showing,s_12,showing,L_188,oxx,blue,dangerous,58,dangerous,True,58.0,,1,False,showing-showing
189,doing,s_42,showing,L_189,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
190,showing,s_35,showing,L_190,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,showing-showing
191,showing,s_20,showing,L_191,oxx,blue,dangerous,74,dangerous,True,74.0,,1,False,showing-showing
192,doing,s_15,doing,L_192,xxx,blue,safe,70,dangerous,False,,70.0,0,True,doing-doing
193,doing,s_3,doing,L_193,oxo,blue,safe,99,safe,True,99.0,,2,True,doing-doing
194,doing,s_44,showing,L_194,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-showing
195,showing,s_28,doing,L_195,ooo,blue,safe,100,safe,True,100.0,,3,True,showing-doing
196,doing,s_32,doing,L_196,ooo,blue,dangerous,58,safe,False,,58.0,3,False,doing-doing
197,doing,s_8,doing,L_197,oxo,blue,dangerous,100,safe,False,,100.0,2,False,doing-doing
198,showing,s_46,doing,L_198,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
199,showing,s_19,doing,L_199,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,showing-doing
200,showing,s_49,doing,L_200,ooo,blue,dangerous,64,safe,False,,64.0,3,False,showing-doing
201,showing,s_25,doing,L_201,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
202,showing,s_20,showing,L_202,xox,blue,dangerous,25,dangerous,True,25.0,,1,False,showing-showing
203,showing,s_26,doing,L_203,oxx,blue,dangerous,74,dangerous,True,74.0,,1,False,showing-doing
204,showing,s_28,doing,L_204,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
205,showing,s_43,doing,L_205,oxx,blue,safe,48,dangerous,False,,48.0,1,True,showing-doing
206,showing,s_35,showing,L_206,xxo,blue,safe,57,safe,True,57.0,,1,True,showing-showing
207,showing,s_46,showing,L_207,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,showing-showing
208,showing,s_16,doing,L_208,oxo,blue,safe,87,safe,True,87.0,,2,True,showing-doing
209,doing,s_54,doing,L_209,oox,blue,dangerous,59,dangerous,True,59.0,,2,False,doing-doing
210,showing,s_39,showing,L_210,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-showing
211,doing,s_48,showing,L_211,oxx,blue,dangerous,100,dangerous,True,100.0,,1,False,doing-showing
212,doing,s_34,doing,L_212,oxx,blue,dangerous,73,dangerous,True,73.0,,1,False,doing-doing
213,doing,s_32,showing,L_213,xox,blue,dangerous,25,dangerous,True,25.0,,1,False,doing-showing
214,doing,s_30,showing,L_214,ooo,blue,safe,91,safe,True,91.0,,3,True,doing-showing
215,doing,s_40,doing,L_215,oox,blue,dangerous,61,dangerous,True,61.0,,2,False,doing-doing
216,doing,s_54,showing,L_216,oxo,blue,safe,96,safe,True,96.0,,2,True,doing-showing
217,doing,s_9,doing,L_217,ooo,blue,dangerous,22,safe,False,,22.0,3,False,doing-doing
218,showing,s_4,showing,L_218,ooo,blue,safe,100,safe,True,100.0,,3,True,showing-showing
219,doing,s_27,doing,L_219,oox,blue,dangerous,90,dangerous,True,90.0,,2,False,doing-doing
220,showing,s_23,doing,L_220,xxx,blue,dangerous,85,dangerous,True,85.0,,0,False,showing-doing
221,doing,s_33,showing,L_221,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,doing-showing
222,doing,s_41,doing,L_222,xxx,blue,safe,0,dangerous,False,,0.0,0,True,doing-doing
223,doing,s_36,showing,L_223,xxx,blue,safe,62,dangerous,False,,62.0,0,True,doing-showing
224,showing,s_7,showing,L_224,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,showing-showing
225,doing,s_56,doing,L_225,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
226,showing,s_4,doing,L_226,ooo,blue,dangerous,63,safe,False,,63.0,3,False,showing-doing
227,showing,s_13,showing,L_227,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-showing
228,showing,s_7,doing,L_228,xoo,blue,safe,94,safe,True,94.0,,2,True,showing-doing
229,showing,s_2,showing,L_229,xoo,blue,safe,78,safe,True,78.0,,2,True,showing-showing
230,showing,s_4,doing,L_230,oxo,blue,safe,100,safe,True,100.0,,2,True,showing-doing
231,doing,s_8,doing,L_231,oxx,blue,dangerous,68,dangerous,True,68.0,,1,False,doing-doing
232,doing,s_8,doing,L_232,oox,blue,dangerous,38,dangerous,True,38.0,,2,False,doing-doing
233,doing,s_32,doing,L_233,oxx,blue,dangerous,100,dangerous,True,100.0,,1,False,doing-doing
234,showing,s_50,showing,L_234,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-showing
235,doing,s_32,showing,L_235,xxx,blue,safe,89,dangerous,False,,89.0,0,True,doing-showing
236,showing,s_7,doing,L_236,xox,blue,safe,60,dangerous,False,,60.0,1,True,showing-doing
237,showing,s_31,showing,L_237,oox,blue,dangerous,89,dangerous,True,89.0,,2,False,showing-showing
238,doing,s_57,showing,L_238,oox,blue,dangerous,67,dangerous,True,67.0,,2,False,doing-showing
239,doing,s_9,doing,L_239,xxo,blue,safe,89,safe,True,89.0,,1,True,doing-doing
240,doing,s_15,doing,L_240,xoo,blue,safe,15,safe,True,15.0,,2,True,doing-doing
241,doing,s_44,showing,L_241,oox,blue,dangerous,83,dangerous,True,83.0,,2,False,doing-showing
242,doing,s_14,showing,L_242,oxx,blue,dangerous,45,dangerous,True,45.0,,1,False,doing-showing
243,doing,s_10,showing,L_243,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,doing-showing
244,doing,s_42,showing,L_244,xxx,blue,dangerous,67,dangerous,True,67.0,,0,False,doing-showing
245,doing,s_10,showing,L_245,xox,blue,dangerous,52,dangerous,True,52.0,,1,False,doing-showing
246,doing,s_3,showing,L_246,ooo,blue,safe,100,safe,True,100.0,,3,True,doing-showing
247,doing,s_36,doing,L_247,xox,blue,safe,94,dangerous,False,,94.0,1,True,doing-doing
248,doing,s_41,showing,L_248,xxx,blue,dangerous,56,dangerous,True,56.0,,0,False,doing-showing
249,showing,s_53,showing,L_249,ooo,blue,safe,100,safe,True,100.0,,3,True,showing-showing
250,showing,s_7,showing,L_250,xxx,blue,safe,82,dangerous,False,,82.0,0,True,showing-showing
251,showing,s_0,doing,L_251,oxx,blue,dangerous,23,dangerous,True,23.0,,1,False,showing-doing
252,showing,s_24,showing,L_252,oxo,blue,safe,76,safe,True,76.0,,2,True,showing-showing
253,showing,s_35,doing,L_253,ooo,blue,safe,23,safe,True,23.0,,3,True,showing-doing
254,doing,s_11,showing,L_254,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,doing-showing
255,doing,s_34,doing,L_255,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,doing-doing
256,showing,s_50,doing,L_256,xox,blue,dangerous,40,dangerous,True,40.0,,1,False,showing-doing
257,showing,s_53,doing,L_257,oox,blue,dangerous,99,dangerous,True,99.0,,2,False,showing-doing
258,showing,s_17,showing,L_258,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing
259,doing,s_38,showing,L_259,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,doing-showing
260,doing,s_54,showing,L_260,xox,blue,dangerous,100,dangerous,True,100.0,,1,False,doing-showing
261,showing,s_18,showing,L_261,xox,blue,dangerous,89,dangerous,True,89.0,,1,False,showing-showing
262,showing,s_21,doing,L_262,xox,blue,safe,100,dangerous,False,,100.0,1,True,showing-doing
263,doing,s_29,doing,L_263,xxo,blue,safe,100,safe,True,100.0,,1,True,doing-doing
264,doing,s_30,showing,L_264,xoo,blue,safe,85,safe,True,85.0,,2,True,doing-showing
265,doing,s_38,showing,L_265,oox,blue,safe,100,dangerous,False,,100.0,2,True,doing-showing
266,doing,s_47,showing,L_266,oxx,blue,dangerous,95,dangerous,True,95.0,,1,False,doing-showing
267,showing,s_25,doing,L_267,xxo,blue,safe,100,safe,True,100.0,,1,True,showing-doing
268,doing,s_42,doing,L_268,oxo,blue,safe,100,safe,True,100.0,,2,True,doing-doing
269,doing,s_47,showing,L_269,xxo,blue,safe,94,safe,True,94.0,,1,True,doing-showing
270,showing,s_19,showing,L_270,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-showing
271,doing,s_37,showing,L_271,oox,blue,dangerous,100,dangerous,True,100.0,,2,False,doing-showing
272,showing,s_26,showing,L_272,xxx,blue,safe,100,dangerous,False,,100.0,0,True,showing-showing
