,teacher_inst,teacher_id,learner_inst,workerid,rf,color,safe_dangerous,confidence,true_value,correct,correct_confidence,incorrect_confidence,n_safe_colors,safe,match_inst,b_orange_cor,b_purple_cor,b_blue_cor,b2_orange_cor,b2_purple_cor,b2_blue_cor,b2j_orange_cor,b2j_purple_cor,b2j_blue_cor,obs_type_pred,b_pred,b2_pred,b2j_pred
37,showing,s_43,showing,L_579,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
38,showing,s_19,doing,L_580,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
39,showing,s_28,showing,L_582,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
40,showing,s_4,showing,L_586,xoo,blue,safe,79,safe,True,79.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
41,showing,s_12,showing,L_594,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
42,showing,s_18,showing,L_595,xoo,blue,dangerous,37,safe,False,,37.0,2,False,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
43,showing,s_18,doing,L_617,xoo,blue,safe,80,safe,True,80.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
44,showing,s_25,showing,L_629,xoo,blue,dangerous,70,safe,False,,70.0,2,False,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
45,showing,s_26,showing,L_646,xoo,blue,safe,88,safe,True,88.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
46,showing,s_43,showing,L_649,xoo,blue,safe,90,safe,True,90.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
47,showing,s_16,doing,L_651,xoo,blue,safe,83,safe,True,83.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
48,showing,s_43,doing,L_653,xoo,blue,dangerous,100,safe,False,,100.0,2,False,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
49,showing,s_0,doing,L_670,xoo,blue,dangerous,18,safe,False,,18.0,2,False,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
50,showing,s_45,showing,L_701,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
51,showing,s_26,showing,L_711,xoo,blue,safe,91,safe,True,91.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
52,showing,s_2,showing,L_730,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
53,showing,s_7,showing,L_736,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
