,cond,mdp_code,participant,uncertain_prop,unknown_color_ent,dem_len,avg_revisit
205,do,xxx,S11,0.5714285714285714,0.8112781244591328,7.0,0.0
206,do,xxx,S14,0.8,1.5,5.0,0.0
207,do,xxx,S15,0.8,1.5,5.0,0.0
208,do,xxx,S22,0.8,1.5,5.0,0.0
209,do,xxx,S27,0.8,1.5,5.0,0.0
210,do,xxx,S29,0.4444444444444444,-0.0,9.0,0.0
211,do,xxx,S3,0.8,1.5,5.0,0.0
212,do,xxx,S30,0.8,1.5,5.0,0.0
213,do,xxx,S32,0.8,1.5,5.0,0.0
214,do,xxx,S33,0.8,1.5,5.0,0.0
215,do,xxx,S34,0.5714285714285714,1.5,7.0,0.16666666666666666
216,do,xxx,S36,0.8,1.5,5.0,0.0
217,do,xxx,S37,0.8,1.5,5.0,0.0
218,do,xxx,S38,0.8,1.5,5.0,0.0
219,do,xxx,S40,0.4444444444444444,-0.0,9.0,0.0
220,do,xxx,S41,0.5714285714285714,1.5,7.0,0.16666666666666666
221,do,xxx,S42,0.5714285714285714,1.5,7.0,0.16666666666666666
222,do,xxx,S44,0.8,1.5,5.0,0.0
223,do,xxx,S47,0.8,1.5,5.0,0.0
224,do,xxx,S48,0.8,1.5,5.0,0.0
225,do,xxx,S5,0.8,1.5,5.0,0.0
226,do,xxx,S52,0.8,1.5,5.0,0.0
227,do,xxx,S54,0.8,1.5,5.0,0.0
228,do,xxx,S56,0.4444444444444444,-0.0,9.0,0.0
229,do,xxx,S57,0.8,1.5,5.0,0.0
230,do,xxx,S8,0.8,1.5,5.0,0.0
231,do,xxx,S9,0.3076923076923077,-0.0,13.0,0.4444444444444444
232,show,ooo,S0,0.9473684210526315,1.4591479170272446,19.0,0.46153846153846156
233,show,ooo,S12,0.8,1.5812908992306924,25.0,0.0
234,show,ooo,S13,0.8,1.5,5.0,0.0
235,show,ooo,S16,0.8,1.5,5.0,0.0
236,show,ooo,S17,0.8,1.5812908992306924,25.0,0.0
237,show,ooo,S18,0.8571428571428571,1.5715416718219246,21.0,0.10526315789473684
238,show,ooo,S19,0.8947368421052632,1.548565226030918,19.0,0.1875
239,show,ooo,S2,0.8,1.5,5.0,0.0
240,show,ooo,S20,0.8,1.5,5.0,0.0
241,show,ooo,S21,0.4444444444444444,-0.0,9.0,0.0
242,show,ooo,S23,0.8,1.5,5.0,0.0
243,show,ooo,S24,0.8,1.5,5.0,0.0
244,show,ooo,S25,0.8571428571428571,1.4591479170272446,7.0,0.0
245,show,ooo,S26,0.5555555555555556,1.5219280948873621,9.0,0.0
246,show,ooo,S28,0.8,1.5,5.0,0.0
247,show,ooo,S31,0.8,1.5,5.0,0.0
248,show,ooo,S35,0.8,1.5,5.0,0.0
249,show,ooo,S39,0.7142857142857143,1.5219280948873621,7.0,0.0
250,show,ooo,S4,0.9333333333333333,1.4315602842833155,15.0,0.07142857142857142
251,show,ooo,S43,0.9310344827586207,1.5663672668986361,29.0,0.45
252,show,ooo,S45,0.7142857142857143,0.7219280948873623,7.0,0.0
253,show,ooo,S46,0.9411764705882353,1.5461796919474975,17.0,0.4166666666666667
254,show,ooo,S49,0.8,1.5,5.0,0.0
255,show,ooo,S50,0.7894736842105263,1.5219280948873621,19.0,0.05555555555555555
256,show,ooo,S51,0.7142857142857143,1.5219280948873621,7.0,0.0
257,show,ooo,S53,0.8,1.5812908992306924,25.0,0.0
258,show,ooo,S55,0.8,1.5,5.0,0.0
259,show,ooo,S6,0.8,1.5,5.0,0.0
260,show,ooo,S7,0.8,1.5,5.0,0.0
261,show,oox,S0,0.7692307692307693,0.8812908992306927,13.0,0.08333333333333333
262,show,oox,S12,0.8947368421052632,0.9774178175281716,19.0,0.26666666666666666
263,show,oox,S13,0.7142857142857143,0.9709505944546686,7.0,0.0
264,show,oox,S16,0.7142857142857143,0.9709505944546686,7.0,0.0
265,show,oox,S17,0.8095238095238095,0.9975025463691152,21.0,0.23529411764705882
266,show,oox,S18,0.8181818181818182,0.9910760598382222,11.0,0.1
267,show,oox,S19,0.7272727272727273,1.0,11.0,0.0
268,show,oox,S2,0.5714285714285714,0.8112781244591328,7.0,0.0
269,show,oox,S20,0.7142857142857143,0.7219280948873623,7.0,0.0
270,show,oox,S21,0.4444444444444444,-0.0,9.0,0.0
271,show,oox,S23,0.7142857142857143,0.7219280948873623,7.0,0.0
272,show,oox,S24,0.8235294117647058,1.0,17.0,0.0625
273,show,oox,S25,0.7142857142857143,0.9709505944546686,7.0,0.0
274,show,oox,S26,0.8235294117647058,0.9852281360342515,17.0,0.3076923076923077
275,show,oox,S28,0.7142857142857143,0.7219280948873623,7.0,0.0
276,show,oox,S31,0.7142857142857143,0.9709505944546686,7.0,0.0
277,show,oox,S35,0.7142857142857143,0.7219280948873623,7.0,0.0
278,show,oox,S39,0.7777777777777778,0.863120568566631,9.0,0.0
279,show,oox,S4,0.7692307692307693,1.0,13.0,0.0
280,show,oox,S43,0.7037037037037037,0.9980008838722996,27.0,1.4545454545454546
281,show,oox,S45,0.7142857142857143,0.7219280948873623,7.0,0.0
282,show,oox,S46,0.7692307692307693,1.0,13.0,0.3
283,show,oox,S49,0.5555555555555556,0.7219280948873623,9.0,0.0
284,show,oox,S50,0.7894736842105263,0.9182958340544896,19.0,0.26666666666666666
285,show,oox,S51,0.7272727272727273,0.954434002924965,11.0,0.0
286,show,oox,S53,0.8857142857142857,0.9992492479956565,35.0,1.0588235294117647
287,show,oox,S55,0.5714285714285714,0.8112781244591328,7.0,0.0
288,show,oox,S6,0.7142857142857143,0.7219280948873623,7.0,0.0
289,show,oox,S7,0.5714285714285714,0.8112781244591328,7.0,0.0
290,show,oxo,S0,0.8,0.9182958340544896,15.0,0.07142857142857142
291,show,oxo,S12,0.9523809523809523,0.9709505944546686,21.0,0.4
292,show,oxo,S13,0.6666666666666666,0.9182958340544896,9.0,0.0
293,show,oxo,S16,0.8888888888888888,0.8112781244591328,9.0,0.0
294,show,oxo,S17,0.88,0.9760206482366149,25.0,0.47058823529411764
295,show,oxo,S18,0.9047619047619048,0.9494520153879484,21.0,0.4
296,show,oxo,S19,0.7037037037037037,0.9819407868640977,27.0,0.35
297,show,oxo,S2,0.8888888888888888,0.8112781244591328,9.0,0.0
298,show,oxo,S20,0.6666666666666666,0.9182958340544896,9.0,0.0
299,show,oxo,S21,0.4444444444444444,-0.0,9.0,0.0
300,show,oxo,S23,0.8888888888888888,0.8112781244591328,9.0,0.0
301,show,oxo,S24,0.8888888888888888,0.8112781244591328,9.0,0.0
302,show,oxo,S25,0.8888888888888888,0.8112781244591328,9.0,0.0
303,show,oxo,S26,0.7058823529411765,0.9798687566511528,17.0,0.13333333333333333
304,show,oxo,S28,0.7272727272727273,0.5435644431995964,11.0,0.1
305,show,oxo,S31,0.4444444444444444,-0.0,9.0,0.0
306,show,oxo,S35,0.8888888888888888,0.8112781244591328,9.0,0.0
307,show,oxo,S39,0.8888888888888888,0.8112781244591328,9.0,0.0
308,show,oxo,S4,0.8888888888888888,0.8112781244591328,9.0,0.0
309,show,oxo,S43,0.8275862068965517,0.8708644692353644,29.0,0.8125
310,show,oxo,S45,0.8888888888888888,0.8112781244591328,9.0,0.0
311,show,oxo,S46,0.7692307692307693,0.9709505944546686,13.0,0.0
312,show,oxo,S49,0.5555555555555556,0.7219280948873623,9.0,0.0
313,show,oxo,S50,0.6666666666666666,0.8812908992306927,15.0,0.07142857142857142
314,show,oxo,S51,0.6470588235294118,0.9456603046006401,17.0,0.21428571428571427
315,show,oxo,S53,0.8571428571428571,0.9910760598382222,21.0,0.23529411764705882
316,show,oxo,S55,0.6666666666666666,0.9182958340544896,9.0,0.0
317,show,oxo,S6,0.6666666666666666,0.9182958340544896,9.0,0.0
318,show,oxo,S7,0.5555555555555556,0.7219280948873623,9.0,0.0
319,show,oxx,S0,0.6666666666666666,-0.0,9.0,0.0
320,show,oxx,S12,0.6666666666666666,-0.0,9.0,0.0
321,show,oxx,S13,0.6666666666666666,-0.0,9.0,0.0
322,show,oxx,S16,0.6666666666666666,-0.0,9.0,0.0
323,show,oxx,S17,0.6666666666666666,-0.0,9.0,0.0
324,show,oxx,S18,0.7272727272727273,-0.0,11.0,0.1
325,show,oxx,S19,0.6363636363636364,-0.0,11.0,0.0
326,show,oxx,S2,0.4444444444444444,-0.0,9.0,0.0
327,show,oxx,S20,0.6666666666666666,-0.0,9.0,0.0
328,show,oxx,S21,0.3076923076923077,-0.0,13.0,0.18181818181818182
329,show,oxx,S23,0.4444444444444444,-0.0,9.0,0.0
330,show,oxx,S24,0.6363636363636364,-0.0,11.0,0.0
331,show,oxx,S25,0.6666666666666666,-0.0,9.0,0.0
332,show,oxx,S26,0.6666666666666666,-0.0,9.0,0.0
